"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @MiguelAulencia: @DAjalvir @greenpeace_esp El caso q planteas todavía es peor porque los consumidores hemos hecho nuestra parte y los or…",FALSE,0,NA,2020-11-06 18:33:29,FALSE,NA,"1324781969239166988",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IRENE63807229",2,TRUE,FALSE,NA,NA
"@hendrikstreeck @tmodc There’s a monster in my kitchen: New @Greenpeace video exposes destruction of forests for in… https://t.co/opuabfdWwG",FALSE,0,"hendrikstreeck",2020-11-06 18:33:17,TRUE,"1324462158072193034","1324781918412591104","1936091958","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Vegan_4Animals",0,FALSE,FALSE,NA,NA
"«Greenpeace: We call Greenpeace to act!» - Подпишите петицию! https://t.co/kVCCM5UEVP через @Change #StopTurkey… https://t.co/z6vwQOYI11",FALSE,0,NA,2020-11-06 18:33:06,TRUE,NA,"1324781873021804544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlisaPetrosyan",0,FALSE,FALSE,NA,NA
"@millares @SEO_BirdLife @greenpeace_esp Bienvenido Raúl 😘 @millares",FALSE,0,"millares",2020-11-06 18:33:05,FALSE,"1323687035647963136","1324781867397242880","17425701","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brutilinda69",0,FALSE,FALSE,NA,NA
"There’s a monster in my kitchen: New @Greenpeace video exposes destruction of forests for industrial meat productio… https://t.co/K9sQibKjRe",FALSE,1,NA,2020-11-06 18:32:55,TRUE,NA,"1324781828817956869",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Vegan_4Animals",1,FALSE,FALSE,NA,NA
"RT @juralde: Las organizaciones ambientales @AmigosTierraEsp, @Ecologistas, @greenpeace_esp , @SEO_BirdLife y  @WWFespana  solicitan al Gob…",FALSE,0,NA,2020-11-06 18:31:54,FALSE,NA,"1324781569547161602",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CulturaPodemos",13,TRUE,FALSE,NA,NA
"@MartinBrampton @muddyboy50 @manifesto2000 @WEschenbach @markp1950 @bazakel @JaggerMickOZ @THommerich @Boi_dBoi_d… https://t.co/4CX4Ylr4mo",FALSE,0,"MartinBrampton",2020-11-06 18:31:40,TRUE,"1324757476798046208","1324781513867743235","48639042","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","highnoontide",0,FALSE,FALSE,NA,NA
"RT @tpdcarioca: @AntonyJojohn Diretoria do Greenwar, braço de extrema-direita do Greenpeace. Já o Ernesto Araújo vai abrir uma hamburgueria…",FALSE,0,NA,2020-11-06 18:30:49,FALSE,NA,"1324781299555536901",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nanoguardbrasil",1,TRUE,FALSE,NA,NA
"Factory farms are the perfect place for viruses to spread. This should be a wake-up call for politicians to rethink… https://t.co/KwwFiilpf2",FALSE,75,NA,2020-11-06 18:30:35,TRUE,NA,"1324781240411709440",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Greenpeace",29,FALSE,FALSE,NA,NA
"@manifesto2000 @MartinBrampton @muddyboy50 @WEschenbach @markp1950 @bazakel @JaggerMickOZ @THommerich @Boi_dBoi_d… https://t.co/hxEhpd74kY",FALSE,0,"manifesto2000",2020-11-06 18:30:09,TRUE,"1324769306580668417","1324781131582083074","109064246","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","highnoontide",0,FALSE,FALSE,NA,NA
"Aquele meme da bell curve do QI só que com os estágios:

minion
""nem de esquerda nem de direita 🤪""

membro do green… https://t.co/vjkoOZFcf6",FALSE,0,NA,2020-11-06 18:29:56,TRUE,NA,"1324781078079447040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maitregian",0,FALSE,FALSE,NA,NA
"@ivortog @frackfree_eu @Greenpeace @WWF @greenpeaceusa @GreenpeaceBR @GreenpeaceUK @climatemorgan No, this isn't a… https://t.co/TIaG30dw4B",FALSE,0,"ivortog",2020-11-06 18:28:46,TRUE,"1324725237867597824","1324780781093441536","266792114","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","StephenCorrySvl",0,FALSE,FALSE,NA,NA
"Oxfam Intermón, Greenpeace y Ecologistas en Acción han demandado al Gobierno por inacción ante el Cambio Climático.… https://t.co/HnpsEGD62L",FALSE,0,NA,2020-11-06 18:28:41,TRUE,NA,"1324780761946476551",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","javimantu",0,FALSE,FALSE,NA,NA
"RT @MarkWatts_1: Undercover policing inquiry urged to investigate extent to which #spycops supplied intelligence to corporations. 

For exa…",FALSE,0,NA,2020-11-06 18:28:19,FALSE,NA,"1324780670678405120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","stop1984",3,TRUE,FALSE,NA,NA
"@greenpeaceusa @Janefonda #FireDrillFridays Heart &amp; Soul Edition November 4 2020. Free on Zoom at 11:00am(pt). Watc… https://t.co/yLMDxGNQQs",FALSE,0,"greenpeaceusa",2020-11-06 18:27:24,TRUE,NA,"1324780439958032384","5360012","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","southocbeaches",0,FALSE,FALSE,NA,NA
"Ecoembes miente. El reciclaje no es suficiente. https://t.co/gepcDjy8cd",FALSE,0,NA,2020-11-06 18:26:09,FALSE,NA,"1324780126299631617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ConchaCeballos1",0,FALSE,FALSE,NA,NA
"@NatCapCoalition @Team4Nature @IPBES @UNBiodiversity @BellaLack @ChristineMilne @ForestPeoplesP @EarthDayNetwork… https://t.co/sJir7NNU6a",FALSE,0,"NatCapCoalition",2020-11-06 18:24:52,TRUE,"1324654942326562818","1324779799764701184","610952363","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sustainable_RS",0,FALSE,FALSE,NA,NA
"Enough is enough. Won't get tired of repeating it to big, irresponsible corporations. https://t.co/7gMivtRzIN",FALSE,0,NA,2020-11-06 18:24:31,FALSE,NA,"1324779712028299266",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nico_Muzi",0,FALSE,FALSE,NA,NA
"RT @lulex: Court win to stop GMO Salmon. @CetaceanSociety @OrcaSOS @standearth @Greenpeace @GMOFreeUSA @NonGMOProject @WWFCanada @CenterFor…",FALSE,0,NA,2020-11-06 18:24:29,FALSE,NA,"1324779705443209217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lsrlinda",4,TRUE,FALSE,NA,NA
"PEDÍ MÁS CICLOVÍAS SEGURAS EN BUENOS AIRES https://t.co/UVrIog8UBX por @greenpeacearg",FALSE,0,NA,2020-11-06 18:24:05,FALSE,NA,"1324779605857837057",NA,"<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","gpapasergio",0,FALSE,FALSE,NA,NA
"RT @Arveri131: @El_Universal_Mx NOOOOOOOOO PAREN ESO!!!!! QUE IMPOTENCIA QUE CULPA TIENEN ESTOS ANIMALITOS DE LAS ESTUPIDECES DE LOS “HUMAN…",FALSE,0,NA,2020-11-06 18:23:36,FALSE,NA,"1324779481383473153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","armyBTSlove10",3,TRUE,FALSE,NA,NA
"RT @greenpeace_esp: 🍏Para @greenpeace_esp acabar con la ganadería industrial, reducir drásticamente el consumo de carne y el desperdicio al…",FALSE,0,NA,2020-11-06 18:22:44,FALSE,NA,"1324779265251049477",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ruper79",17,TRUE,FALSE,NA,NA
"Дума рассматривает скандальный законопроект, разрешающий правительству изымать земли национальных парков. #Greenpeace",FALSE,0,NA,2020-11-06 18:22:43,FALSE,NA,"1324779260167540740",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Stdk_20000",0,FALSE,FALSE,NA,NA
"RT @Aynur10166722: Forest Area of #Karabakh Destroyed by #ArmenianAgression Red exclamation mark symbol
Fire #Armenians burned 1815 hectare…",FALSE,0,NA,2020-11-06 18:22:38,FALSE,NA,"1324779239502172160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","royamacid",2,TRUE,FALSE,NA,NA
"Oxfam Intermón, Greenpeace y Ecologistas en Acción han demandado al Gobierno por inacción ante el Cambio Climático.… https://t.co/2QFtlHidmI",FALSE,0,NA,2020-11-06 18:22:38,TRUE,NA,"1324779237795078144",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","XANTIBEGIRISTAI",0,FALSE,FALSE,NA,NA
"RT @greenpeace_esp: Nos están mintiendo. 
No quieren solucionar el problema de los envases en el medio ambiente. Quieren seguir haciendo ne…",FALSE,0,NA,2020-11-06 18:22:24,FALSE,NA,"1324779180161159171",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZapatelM",338,TRUE,FALSE,NA,NA
"@ecologistas @equomadrid @greenpeace_esp @OxfamIntermon Aviones quita tormentas",FALSE,0,"ecologistas",2020-11-06 18:22:23,FALSE,"1324324109875060736","1324779174666604545","51806144","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","josemart111",0,FALSE,FALSE,NA,NA
"I see only bad news in Russian media. I guess it really well reflects what is actually happening. In this flow you… https://t.co/D5Ycla1QqS",FALSE,0,NA,2020-11-06 18:22:15,TRUE,NA,"1324779141934309376",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AlenaGureva4",0,FALSE,FALSE,NA,NA
"Mauritius after three months: 10 unanswered questions following the oil spill https://t.co/57FRhKvKgN #Wakashio… https://t.co/rGi6nJWkjt",FALSE,0,NA,2020-11-06 18:21:46,TRUE,NA,"1324779021624815616",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amarbheenick",0,FALSE,FALSE,NA,NA
"Auch eine Idee: Keine Wälder unnötig abholzen! #keineA49 #dannibleibt https://t.co/xtv5FlqJzN",FALSE,1,NA,2020-11-06 18:21:25,FALSE,NA,"1324778934781808642",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Greenpeace_FFM",0,FALSE,FALSE,NA,NA
"RT @GreenpeaceArg: 🔥¡Ya se quemaron 20.000 hectáreas en Jujuy! 
El fuego arrasó con casi 6.600 has. de Selva de Yungas en el Parque Nac. Ca…",FALSE,0,NA,2020-11-06 18:21:22,FALSE,NA,"1324778918403018756",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","maru_pausich",61,TRUE,FALSE,NA,NA
"RT @Aynur10166722: Forest Area of #Karabakh Destroyed by #ArmenianAgression Red exclamation mark symbol
Fire #Armenians burned 1815 hectare…",FALSE,0,NA,2020-11-06 18:20:23,FALSE,NA,"1324778671354318848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1992Aslanl",2,TRUE,FALSE,NA,NA
"RT @Aynur10166722: Forest Area of #Karabakh Destroyed by #ArmenianAgression Red exclamation mark symbol
Fire #Armenians burned 1815 hectare…",FALSE,0,NA,2020-11-06 18:20:17,FALSE,NA,"1324778649434861576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1992Aslanl",1,TRUE,FALSE,NA,NA
"RT @peta: #SeaWorld attendance is down 80%… but the orcas don’t want to be there either. https://t.co/DcHsZmCRkq",FALSE,0,NA,2020-11-06 18:19:55,FALSE,NA,"1324778555306315778",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Greenpeace_FFM",10,TRUE,FALSE,NA,NA
"RT @AndreaV01039030: #ClimateAction @GreenpeaceBR 
@Greenpeace https://t.co/Etyi2GlEU3",FALSE,0,NA,2020-11-06 18:18:59,FALSE,NA,"1324778319011864576",NA,"<a href=""https://Eco1stArt.com"" rel=""nofollow"">Eco Promotions</a>","Eco1stArt",1,TRUE,FALSE,NA,NA
"RT @wsa_buendnis: JETZT LIVE: Pressekonferenz mit @keinea49, @greenpeace_de, @fridayforfuture und der BürgerInneninitative @gegendiea49. Wi…",FALSE,0,NA,2020-11-06 18:18:29,FALSE,NA,"1324778193220444161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HStoodt",16,TRUE,FALSE,NA,NA
"Ecoembes miente. El reciclaje no es suficiente. https://t.co/srObjNqTOy",FALSE,0,NA,2020-11-06 18:17:33,FALSE,NA,"1324777960990253058",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alfadres",0,FALSE,FALSE,NA,NA
"@YannWeb Le lobbying est une plaie. Comme celui de Greenpeace,  propriétaire ou exploitants de parcs éoliens ou PV… https://t.co/5pX8uNjJYQ",FALSE,0,"YannWeb",2020-11-06 18:17:33,TRUE,"1272500421735653376","1324777958356197376","96794983","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LemoineGilles",0,FALSE,FALSE,NA,NA
"Forest Area of #Karabakh Destroyed by #ArmenianAgression Red exclamation mark symbol
Fire #Armenians burned 1815 he… https://t.co/SLkvwC5sWj",FALSE,4,NA,2020-11-06 18:17:24,TRUE,NA,"1324777922989707266",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Aynur10166722",1,FALSE,FALSE,NA,NA
"Ampla maioria dos brasileiros quer Amazônia protegida via @greenpeacebr https://t.co/lcCLtohJKh",FALSE,0,NA,2020-11-06 18:17:23,FALSE,NA,"1324777919030403073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","julianabragar",0,FALSE,FALSE,NA,NA
"#ClimateAction @GreenpeaceBR 
@Greenpeace https://t.co/Etyi2GlEU3",FALSE,1,NA,2020-11-06 18:16:56,FALSE,NA,"1324777806623088646",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndreaV01039030",1,FALSE,FALSE,NA,NA
"RT @Greenpeace: It's time to stop all expansion of fossil fuel production.

Opening a new oil frontier in the Arctic should be illegal - an…",FALSE,0,NA,2020-11-06 18:16:43,FALSE,NA,"1324777750893371394",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kaizerlord",34,TRUE,FALSE,NA,NA
"Forest Area of #Karabakh Destroyed by #ArmenianAgression Red exclamation mark symbol
Fire #Armenians burned 1815 he… https://t.co/yErCUtiV9Y",FALSE,8,NA,2020-11-06 18:16:39,TRUE,NA,"1324777734405386240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Aynur10166722",2,FALSE,FALSE,NA,NA
"RT @greenpeace_esp: ¿Sabes quién está detrás del sistema de gestión de residuos de envases en España?
Las mismas empresas que se lucran de…",FALSE,0,NA,2020-11-06 18:16:26,FALSE,NA,"1324777678902300676",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alfadres",236,TRUE,FALSE,NA,NA
"RT @greenpeace_esp: ¿Sabes quién está detrás del sistema de gestión de residuos de envases en España?
Las mismas empresas que se lucran de…",FALSE,0,NA,2020-11-06 18:16:12,FALSE,NA,"1324777620282707968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","setisret",222,TRUE,FALSE,NA,NA
"Greenpeace Fire Drill Fridays Heart &amp; Soul Edition November 4 2020 https://t.co/WcX04B4vmg",FALSE,0,NA,2020-11-06 18:16:11,FALSE,NA,"1324777614897254400",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","southocbeaches",0,FALSE,FALSE,NA,NA
"Greenpeace: We call Greenpeace to act! - Signez la pétition ! https://t.co/q2FdUIA3UI via @ChangeFrance",FALSE,0,NA,2020-11-06 18:15:42,FALSE,NA,"1324777495980363776",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cabas_edith",0,FALSE,FALSE,NA,NA
"RT @Greenpeaceafric: The #MauritiusOilSpill saga gets murkier by the day. So not only was oil spilt into the ocean, the oil was laced with…",FALSE,0,NA,2020-11-06 18:15:21,FALSE,NA,"1324777406188707840",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PeterRuLa",55,TRUE,FALSE,NA,NA
"@MartinBrampton @muddyboy50 @manifesto2000 @WEschenbach @markp1950 @bazakel @JaggerMickOZ @THommerich @Boi_dBoi_d… https://t.co/P5TLU0yfyk",FALSE,0,"MartinBrampton",2020-11-06 18:15:05,TRUE,"1324775552360861698","1324777338907828226","48639042","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","highnoontide",0,FALSE,FALSE,NA,NA
"RT @PeterWohlleben: Es gibt einen neuen Podcast mit @martinkaisergp von @greenpeace_de zur #Forstwirtschaft in Deutschland:

https://t.co/r…",FALSE,0,NA,2020-11-06 18:14:37,FALSE,NA,"1324777223333830656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tmodc",15,TRUE,FALSE,NA,NA
"@sevi_pg @DawnRoseTurner @Greenpeace Or perhaps its the belief that this is normal so there's nothing anybody can do about it.",FALSE,1,"sevi_pg",2020-11-06 18:14:22,FALSE,"1324626752459706368","1324777160561733633","1294284903639654400","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NohBodhi",0,FALSE,FALSE,NA,NA
"Greenpeace, guida ai detersivi senza plastiche https://t.co/DFKRvwf0Yz",FALSE,0,NA,2020-11-06 18:14:10,FALSE,NA,"1324777106912542722",NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","ioloraccolgo",0,FALSE,FALSE,NA,NA
"Elsa went all greenpeace lmaooooo",FALSE,0,NA,2020-11-06 18:11:25,FALSE,NA,"1324776416634761216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leassies",0,FALSE,FALSE,NA,NA
"RT @Greenpeaceafric: The #MauritiusOilSpill saga gets murkier by the day. So not only was oil spilt into the ocean, the oil was laced with…",FALSE,0,NA,2020-11-06 18:11:10,FALSE,NA,"1324776352143319046",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GlobalUnion3",55,TRUE,FALSE,NA,NA
"RT @Greenpeace_ITA: Detergenti con #plastica liquida e #microplastiche: per riconoscerli ed evitarli abbiamo realizzato una guida all'acqui…",FALSE,0,NA,2020-11-06 18:10:58,FALSE,NA,"1324776304001114112",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","floydian64",23,TRUE,FALSE,NA,NA
"RT @FranFerrante: L’eolico offshore che piace agli ambientalisti: siglato manifesto da @AnevEolico @Legambiente @Greenpeace_ITA @Kyoto_Club…",FALSE,0,NA,2020-11-06 18:10:51,FALSE,NA,"1324776275437887495",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FLuccisano",7,TRUE,FALSE,NA,NA
"RT @Greenpeace_ITA: Per rispondere alla crisi che stiamo vivendo non dobbiamo cambiare solo la nostra vita nelle città, ma dobbiamo ripensa…",FALSE,0,NA,2020-11-06 18:10:13,FALSE,NA,"1324776115228037120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fzazzera",12,TRUE,FALSE,NA,NA
"Oxfam Intermón, Greenpeace y Ecologistas en Acción han demandado al Gobierno por inacción ante el Cambio Climático.… https://t.co/u5LJQBWZNj",FALSE,0,NA,2020-11-06 18:10:11,TRUE,NA,"1324776104507412481",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MenChu62",0,FALSE,FALSE,NA,NA
"@MockCOP26 @LicypriyaK @COP26 @mitzijonelle @Glasgow_COP @MaryRobinson01 @EarthDayNetwork @GretaThunberg… https://t.co/uvhlAKrK0e",FALSE,0,"MockCOP26",2020-11-06 18:09:27,TRUE,"1324775321309220868","1324775922172485632","1281511478848376832","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1960_rani",0,FALSE,FALSE,NA,NA
"@GreenNewsReport @Greenpeace @insideclimate https://t.co/kzEZH3l4vY",FALSE,1,"GreenNewsReport",2020-11-06 18:09:19,FALSE,NA,"1324775887213105153","51176565","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarolynProcto12",0,FALSE,FALSE,NA,NA
"RT @Greenpeace_ITA: Detergenti con #plastica liquida e #microplastiche: per riconoscerli ed evitarli abbiamo realizzato una guida all'acqui…",FALSE,0,NA,2020-11-06 18:09:06,FALSE,NA,"1324775834062905345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fzazzera",23,TRUE,FALSE,NA,NA
